;Season;Experiment;Period;Institute;Model;Model Id;Ensemble;RCM Ver;TAS celsius;PR mm.year;TAS diff;PR diff;Previous Study
62;ANN;rcp26;2031-2060;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN63;r1i1p1;v2;3.4569465816663296;1008.1054839151826;1.5296218949219451;4.69443569195952;False
63;ANN;rcp26;2031-2060;DMI;ICHEC-EC-EARTH;HIRHAM5;r3i1p1;v2;3.334007474170164;1136.0239804197233;1.4449054737305005;4.922565500366668;True
64;ANN;rcp26;2031-2060;DMI;MOHC-HadGEM2-ES;HIRHAM5;r1i1p1;v2;5.17770938667843;1212.9074167487227;2.273933831611373;6.610684908803847;False
65;ANN;rcp26;2031-2060;GERICS;ICHEC-EC-EARTH;REMO2015;r12i1p1;v1;4.368602989668091;1083.6509603541035;;;False
66;ANN;rcp26;2031-2060;GERICS;IPSL-IPSL-CM5A-LR;REMO2015;r1i1p1;v1;1.411606946581685;999.423475316866;3.974032754451514;15.432835553592172;False
67;ANN;rcp26;2031-2060;GERICS;MIROC-MIROC5;REMO2015;r1i1p1;v1;3.7591558584304607;1032.334621583113;;;False
68;ANN;rcp26;2031-2060;GERICS;MOHC-HadGEM2-ES;REMO2015;r1i1p1;v1;5.557902835788127;1139.7937958621537;;;False
69;ANN;rcp26;2031-2060;GERICS;NCC-NorESM1-M;REMO2015;r1i1p1;v1;4.098351285996955;1134.1347310222827;1.549846120026416;5.021720822104054;False
70;ANN;rcp26;2031-2060;GERICS;NOAA-GFDL-GFDL-ESM2G;REMO2015;r1i1p1;v1;0.9323807430204738;1053.883187674931;1.7711859749395558;5.392797804093589;False
71;ANN;rcp26;2031-2060;ICTP;MOHC-HadGEM2-ES;RegCM4-6;r1i1p1;v1;4.6790833150143385;995.3778600608892;2.0839195427566892;7.67011937454302;False
72;ANN;rcp26;2031-2060;ICTP;MPI-M-MPI-ESM-LR;RegCM4-6;r1i1p1;v1;4.30946911409103;975.4051156923467;1.3526324466915867;6.124791127579849;False
73;ANN;rcp26;2031-2060;KNMI;CNRM-CERFACS-CNRM-CM5;RACMO22E;r1i1p1;v2;2.1684765882611714;866.0435636139462;1.7232083974499801;3.931965244489441;False
