;Årstid;Eksperiment;Periode;Institutt;Modell;Modell Id;Ensemble;RCM Ver;TAS celsius;PR mm.år;TAS endring;PR endring;Referansemodell
53;ANN;historical;1971-2000;KNMI;ICHEC-EC-EARTH;RACMO22E;r3i1p1;v1;-1.2249593401487004;1112.8653298024794;0.0;0.0;False
54;ANN;historical;1971-2000;KNMI;IPSL-IPSL-CM5A-MR;RACMO22E;r1i1p1;v1;-2.5553206319702326;1034.2172006442865;0.0;0.0;False
55;ANN;historical;1971-2000;KNMI;MOHC-HadGEM2-ES;RACMO22E;r1i1p1;v2;-0.6056807620817608;1144.376544399554;0.0;0.0;False
56;ANN;historical;1971-2000;KNMI;MPI-M-MPI-ESM-LR;RACMO22E;r1i1p1;v1;-0.052532527880998714;1184.6891174806096;0.0;0.0;False
57;ANN;historical;1971-2000;KNMI;NCC-NorESM1-M;RACMO22E;r1i1p1;v1;-1.2551928438661548;1158.886177566415;0.0;0.0;False
58;ANN;historical;1971-2000;MOHC;CNRM-CERFACS-CNRM-CM5;HadREM3-GA7-05;r1i1p1;v2;-0.6371921468401069;1287.2654347005387;0.0;0.0;False
59;ANN;historical;1971-2000;MOHC;ICHEC-EC-EARTH;HadREM3-GA7-05;r12i1p1;v1;-0.46877323420073935;1372.765875294749;0.0;0.0;False
60;ANN;historical;1971-2000;MOHC;MOHC-HadGEM2-ES;HadREM3-GA7-05;r1i1p1;v1;0.279484200743525;1357.9267210842952;0.0;0.0;False
61;ANN;historical;1971-2000;MOHC;MPI-M-MPI-ESM-LR;HadREM3-GA7-05;r1i1p1;v1;1.1264289033457544;1461.6786505154516;0.0;0.0;False
62;ANN;historical;1971-2000;MOHC;NCC-NorESM1-M;HadREM3-GA7-05;r1i1p1;v1;0.010199814126394813;1462.2555308570206;0.0;0.0;False
63;ANN;historical;1971-2000;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r1i1p1;v1;1.9097118959107888;1243.7170873399562;0.0;0.0;True
64;ANN;historical;1971-2000;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r2i1p1;v1;1.8009758364312347;1290.991994300961;0.0;0.0;False
65;ANN;historical;1971-2000;RMIB-UGent;CNRM-CERFACS-CNRM-CM5;ALARO-0;r1i1p1;v1;2.8833120353160098;843.4570751807281;0.0;0.0;False
66;ANN;historical;1971-2000;SMHI;CNRM-CERFACS-CNRM-CM5;RCA4;r1i1p1;v1;-1.5948478159851334;1124.7342057996966;0.0;0.0;True
67;ANN;historical;1971-2000;SMHI;ICHEC-EC-EARTH;RCA4;r12i1p1;v1;-1.4112685873605528;1271.5591025978438;0.0;0.0;True
68;ANN;historical;1971-2000;SMHI;ICHEC-EC-EARTH;RCA4;r1i1p1;v1;-1.0825627323420122;1274.0530174987246;0.0;0.0;False
69;ANN;historical;1971-2000;SMHI;ICHEC-EC-EARTH;RCA4;r3i1p1;v1;-1.2429368029739294;1233.788190006545;0.0;0.0;False
70;ANN;historical;1971-2000;SMHI;IPSL-IPSL-CM5A-MR;RCA4;r1i1p1;v1;-2.4921236059479384;1128.4628412952875;0.0;0.0;True
71;ANN;historical;1971-2000;SMHI;MOHC-HadGEM2-ES;RCA4;r1i1p1;v1;-0.007312964683990231;1322.9676631275827;0.0;0.0;True
