;Season;Experiment;Period;Institute;Model;Model Id;Ensemble;RCM Ver;TAS celsius;PR mm.year;TAS diff;PR diff;Previous Study
142;MAM;historical;1951-2000;SMHI;ICHEC-EC-EARTH;RCA4;r12i1p1;v1;-3.8036361524163453;980.9466714060219;0.0;0.0;True
143;MAM;historical;1951-2000;SMHI;ICHEC-EC-EARTH;RCA4;r1i1p1;v1;-3.547304832713735;949.3824668533297;0.0;0.0;False
144;MAM;historical;1951-2000;SMHI;ICHEC-EC-EARTH;RCA4;r3i1p1;v1;-4.204455157992527;905.126894786123;0.0;0.0;False
145;MAM;historical;1951-2000;SMHI;MOHC-HadGEM2-ES;RCA4;r1i1p1;v1;-2.211628717472081;1062.14826087914;0.0;0.0;True
146;MAM;historical;1951-2000;SMHI;MPI-M-MPI-ESM-LR;RCA4;r1i1p1;v1a;-1.4800999070631633;1060.892672075104;0.0;0.0;True
147;MAM;historical;1951-2000;SMHI;MPI-M-MPI-ESM-LR;RCA4;r2i1p1;v1;-1.7913220260222715;1051.6581070467441;0.0;0.0;False
148;MAM;historical;1951-2000;SMHI;MPI-M-MPI-ESM-LR;RCA4;r3i1p1;v1;-1.9911071096653927;1021.8053141740397;0.0;0.0;False
149;MAM;historical;1951-2000;SMHI;NCC-NorESM1-M;RCA4;r1i1p1;v1;-2.9264869888475573;979.6173336946831;0.0;0.0;False
150;MAM;rcp26;2031-2060;CLMcom;ICHEC-EC-EARTH;CCLM4-8-17;r12i1p1;v1;-0.20994423791819372;929.9798395166167;1.9153113382899392;2.41763837495408;True
151;MAM;rcp26;2031-2060;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN53;r1i1p1;v1;-2.8933382282469893;824.0116188489593;1.7328757587418409;11.107930622594619;False
152;MAM;rcp26;2031-2060;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN63;r1i1p1;v2;-1.225365938661696;1032.7786052924994;1.2134061338289825;1.6928274566944217;False
153;MAM;rcp26;2031-2060;DMI;ICHEC-EC-EARTH;HIRHAM5;r3i1p1;v2;-0.21223861524163112;1086.3546188934586;1.430762081784394;-3.7575582525921045;True
154;MAM;rcp26;2031-2060;DMI;MOHC-HadGEM2-ES;HIRHAM5;r1i1p1;v2;2.1058375929368367;1315.9558355365102;2.258712825278849;7.1566502270219;False
155;MAM;rcp26;2031-2060;GERICS;ICHEC-EC-EARTH;REMO2015;r12i1p1;v1;1.3718691914498322;1088.9488323082712;;;False
156;MAM;rcp26;2031-2060;GERICS;NCC-NorESM1-M;REMO2015;r1i1p1;v1;2.072496514869897;1159.0421974769756;1.747037639405164;7.488848946631904;False
157;MAM;rcp26;2031-2060;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r1i1p1;v1;1.7559014869888756;1031.3407747441952;1.3468285315985327;2.196334563287044;True
158;MAM;rcp26;2031-2060;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r2i1p1;v1;1.7058317843866462;1000.5484754212725;1.2810757434944549;-3.2530772938112436;False
159;MAM;rcp26;2031-2060;RMIB-UGent;CNRM-CERFACS-CNRM-CM5;ALARO-0;r1i1p1;v1;-6.498106412639402;628.3757072939195;1.1486407992564978;3.635014970469909;False
160;MAM;rcp26;2031-2060;SMHI;ICHEC-EC-EARTH;RCA4;r12i1p1;v1;-1.3654972118958995;1043.9438620852272;2.438138940520446;6.422081089169652;True
161;MAM;rcp26;2031-2060;SMHI;MOHC-HadGEM2-ES;RCA4;r1i1p1;v1;0.2787000464684297;1167.59838181579;2.4903287639405107;9.928003916267672;True
162;MAM;rcp26;2031-2060;SMHI;MPI-M-MPI-ESM-LR;RCA4;r1i1p1;v1a;-0.1091078066914406;1087.0149720723302;1.3709921003717227;2.4622943191916864;True
163;MAM;rcp26;2031-2060;SMHI;NCC-NorESM1-M;RCA4;r1i1p1;v1;-0.9928496747211852;1070.4726005049222;1.933637314126372;9.274567087086254;False
164;MAM;rcp26;2071-2100;CLMcom;ICHEC-EC-EARTH;CCLM4-8-17;r12i1p1;v1;-0.44295422862450096;894.6054932685589;1.682301347583632;-1.478098766688823;True
165;MAM;rcp26;2071-2100;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN53;r1i1p1;v1;-2.7788712171816883;835.5168307899431;1.8473427698071418;12.659268323296864;False
166;MAM;rcp26;2071-2100;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN63;r1i1p1;v2;-1.2031482342007394;1078.609126246773;1.2356238382899392;6.205542220313495;False
167;MAM;rcp26;2071-2100;DMI;ICHEC-EC-EARTH;HIRHAM5;r3i1p1;v2;0.35203299256505716;1120.9060365936568;1.9950336895910823;-0.6965754505961872;True
