;Season;Experiment;Period;Institute;Model;Model Id;Ensemble;RCM Ver;TAS celsius;PR mm.year;TAS diff;PR diff;Previous Study
48;ANN;historical;1991-2020;SMHI;MOHC-HadGEM2-ES;RCA4;r1i1p1;v1;0.8656830855018711;1363.5267214454905;0.8729960501858613;3.0657633930389148;True
49;ANN;historical;1991-2020;SMHI;MPI-M-MPI-ESM-LR;RCA4;r1i1p1;v1a;0.06549721189594493;1317.128170018524;-0.2705041821561167;-0.5851377244570755;True
50;ANN;historical;1991-2020;SMHI;NCC-NorESM1-M;RCA4;r1i1p1;v1;0.11530552973977137;1330.2261944707884;1.2935350836431212;3.877210022339968;False
51;ANN;rcp26;2041-2070;CLMcom-BTU;MPI-M-MPI-ESM-LR;CCLM4-8-17;r1i1p1;v1;2.1598280669145424;1222.528862385391;;;True
52;ANN;rcp26;2041-2070;CLMcom;ICHEC-EC-EARTH;CCLM4-8-17;r12i1p1;v1;1.6601765799256896;1184.550141761959;1.9600952602230564;4.876384495584124;True
53;ANN;rcp26;2041-2070;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN63;r1i1p1;v2;3.8631273234200876;1010.0615381751363;1.4925069702601945;4.712995939480381;False
54;ANN;rcp26;2041-2070;DMI;ICHEC-EC-EARTH;HIRHAM5;r3i1p1;v2;1.7927857806691918;1491.1585470613052;1.5181807620817835;7.381262224683983;True
55;ANN;rcp26;2041-2070;DMI;MOHC-HadGEM2-ES;HIRHAM5;r1i1p1;v2;3.345846886617096;1521.9460390480479;2.263562964684013;5.992999989499535;False
56;ANN;rcp26;2041-2070;GERICS;ICHEC-EC-EARTH;REMO2015;r12i1p1;v1;3.0682272304832736;1368.627523647476;2.1592704460966274;7.102603700067746;False
57;ANN;rcp26;2041-2070;GERICS;MOHC-HadGEM2-ES;REMO2015;r1i1p1;v1;4.218610594795564;1342.0450304686801;2.2329228624535062;3.9921915095111213;False
58;ANN;rcp26;2041-2070;GERICS;NCC-NorESM1-M;REMO2015;r1i1p1;v1;3.025708643122698;1402.2273072993667;1.7121572955390434;4.656837801710902;False
59;ANN;rcp26;2041-2070;KNMI;CNRM-CERFACS-CNRM-CM5;RACMO22E;r1i1p1;v2;-0.1794203066914406;1047.9208401975577;1.6137894981412728;4.228526196984494;False
60;ANN;rcp26;2041-2070;KNMI;ICHEC-EC-EARTH;RACMO22E;r12i1p1;v1;0.541333643122698;1195.797341785023;2.158399163568788;5.9104521749833845;False
61;ANN;rcp26;2041-2070;KNMI;MOHC-HadGEM2-ES;RACMO22E;r1i1p1;v2;1.767896143122698;1218.8554019982264;2.373576905204459;6.508247478783387;False
62;ANN;rcp26;2041-2070;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r1i1p1;v1;3.0040427509293863;1274.2315444832175;1.0943308550185975;2.453488615206315;True
63;ANN;rcp26;2041-2070;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r2i1p1;v1;3.0781017657992606;1293.9292767067825;1.277125929368026;0.22752134937999446;False
